Field ID,Stratigraphic Position Relative to Khc/PgFtu Contact [m],Percent Sand,Percent Silt,Percent Clay,Percent Organic,Rock Type,d13C [‰] (PDB),Standard Devation [‰],Weight Percent Organic Carbon,Excursion
MT00-176,9.6,,,,,,-23.63,0.05,0.3,
MT00-177,9.3,,,,,,-23.91,0.05,0.3,
MT00-178,9,,,,,,-23.8,0.08,0.4,
MT00-179,8.7,,,,,,-23.91,0.03,0.5,
MT00-180,8.4,,,,,,-24.15,0.08,0.6,
MT00-181,8.1,,,,,,-23.78,0.04,0.4,
MT00-182,7.8,,,,,,-23.86,0.06,0.3,
MT00-183,7.75,,,,,,-23.99,0.11,0.4,
MT00-184,7.7,,,,,,-23.86,0.04,0.4,
MT00-185,7.5,,,,,,-23.84,0.03,0.4,
MT00-186,7.1,,,,,,-23.95,0.11,0.5,
MT00-187,6.8,,,,,,-24.14,0.02,0.4,
MT00-188,6.5,,,,,,-24,0.05,0.3,
MT00-189,6.45,,,,,,-24.08,0.09,0.2,
MT00-190,6.15,,,,,,-24.13,0.12,0.4,
MT00-191,6,,,,,,-24.06,0.03,0.5,
MT00-192,5.8,,,,,,-24.11,0.09,0.4,
MT00-193,5.5,,,,,,-24.36,0.03,0.5,
MT00-194,5.2,,,,,,-24.51,0.07,0.6,
MT00-195,4.9,,,,,,-24.36,0.02,0.5,
MT00-196,4.67,,,,,,-24.22,0.05,0.6,
MT00-197,4.2,,,,,,-24.61,0.03,0.5,
MT00-198,3.9,,,,,,-24.13,0.03,0.5,
MT00-199,3.5,,,,,,-24.2,0.02,0.5,
MT00-200,3.5,,,,,,-24.52,0.03,0.6,
MT00-201,3.45,,,,,,-25.88,0.08,6.4,
MT00-202,3.15,,,,,,-26.96,0.05,36.2,
MT00-203,2.95,,,,,,-24.7,0.09,47.5,
MT00-204,2.66,,,,,,-24.9,0.11,33.7,
MT00-205,2.64,,,,,,-24.87,0.1,2.4,
MT00-206,2.55,,,,,,-24.47,0.04,0.7,
MT00-207,2.25,,,,,,-24.07,0.07,1.1,
MT00-208,1.95,,,,,,-24.08,0.06,0.7,
MT00-209,1.65,,,,,,-24.76,0.06,1,
MT00-210,1.35,,,,,,-25.59,0.09,1.3,
MT00-211,1.05,,,,,,-25.56,0.09,4.3,
MT00-212,0.95,,,,,,-24.08,0.01,39.5,
MT00-213,0.65,,,,,,-24.2,0.05,47.8,
MT00-214,0.35,,,,,,-25.59,0.14,54.4,
MT00-215,0.05,,,,,,-23.7,0.01,56.6,
MT00-175,0.14,,,,,,-23.06,0.11,0.1,
MT00-174,0.1,,,,,,-23.89,0.04,0.2,
MT00-172,0.08,,,,,,-25.48,0.09,0.2,
MT00-172,0.06,,,,,,-25.53,0.07,45.5,
MT00-171,0.04,,,,,,-25.92,0.02,33.5,
MT00-170,0.02,,,,,,-27.6,0.25,45.7,
MT00-169,0,,,,,,-28.59,0.1,27.3,
MT00-168,-0.01,,,,,,-25.32,0.12,3.8,
MT00-167,-0.11,,,,,,-25.65,0.05,4.4,
MT00-166,-0.21,,,,,,-25.57,0.13,2.8,
MT00-165,-0.31,,,,,,-25.08,0.04,3.8,
MT00-164,-0.41,,,,,,-25.31,0.2,2.8,
MT00-163,-0.51,,,,,,-25.53,0.11,2.2,
MT00-162,-0.61,,,,,,-25.22,0.04,2.4,
MT00-161,-0.71,,,,,,-25.52,0.22,2.1,
MT00-160,-0.81,,,,,,-25.04,0.03,2.2,
,,,,,,,,,,
Rick's Place,,,,,,,,,,
MT00-175,0.14,,,,,,-23.06,0.11,0.1,
MT00-174,0.1,,,,,,-23.89,0.04,0.2,
MT00-172,0.08,,,,,,-25.48,0.09,0.2,
MT00-172,0.06,,,,,,-25.53,0.07,45.5,
MT00-171,0.04,,,,,,-25.92,0.02,33.5,
MT00-170,0.02,,,,,,-27.6,0.25,45.7,
MT00-169,0,,,,,,-28.59,0.1,27.3,
MT00-168,-0.01,,,,,,-25.32,0.12,3.8,
MT00-167,-0.11,,,,,,-25.65,0.05,4.4,
MT00-166,-0.21,,,,,,-25.57,0.13,2.8,
MT00-165,-0.31,,,,,,-25.08,0.04,3.8,
MT00-164,-0.41,,,,,,-25.31,0.2,2.8,
MT00-163,-0.51,,,,,,-25.53,0.11,2.2,
MT00-162,-0.61,,,,,,-25.22,0.04,2.4,
MT00-161,-0.71,,,,,,-25.52,0.22,2.1,
MT00-160,-0.81,,,,,,-25.04,0.03,2.2,
,,,,,,,,,,
Smurphy's Guess,,,,,,,,,,
MT00-267,0.25,,,,,,-24.43,0.09,0.1,
MT00-268,0.15,,,,,,-26.09,0.06,0.1,
MT00-269,0,,,,,,-25.53,0.08,0.2,
MT00-270,-0.45,,,,,,-24.45,0.12,0.1,
MT00-271,-0.65,,,,,,-24.02,0.07,0.1,
MT00-272,-0.85,,,,,,-24.15,0.1,0.1,
MT00-273,-1.15,,,,,,-24.29,0.02,0,
MT00-274,-1.7,,,,,,-24.39,0.05,0,
MT00-275,-2.15,,,,,,-24.45,0.07,0,
MT00-276,-2.45,,,,,,-24.05,0.06,0.1,
MT00-277,-2.75,,,,,,-24.35,0.1,0.1,
MT00-278,-3.05,,,,,,-24.24,0.21,0.1,
MT00-279,-3.35,,,,,,-24.41,0.09,0.1,
MT00-280,-3.65,,,,,,-24.19,0.08,0.1,
MT00-281,-3.95,,,,,,-24.33,0.1,0.1,
MT00-282,-4.25,,,,,,-25.33,0.04,0.1,
MT00-283,-4.75,,,,,,-25.81,0.01,0.1,
MT00-284,-5.05,,,,,,-24.37,0.07,0.3,
MT00-285,-5.35,,,,,,-24.42,0.13,0.2,
MT00-286,-5.55,,,,,,-24.59,0.07,0.1,
MT00-287,-5.85,,,,,,-24.76,0.08,0.2,
MT00-288,-6.15,,,,,,-24.3,0.11,0.1,
MT00-289,-6.55,,,,,,-23.88,0.08,0.1,
MT00-290,-6.85,,,,,,-23.99,0.08,0,
MT00-291,-7.05,,,,,,-24.2,0.11,0,
MT00-292,-7.25,,,,,,-24.24,0.09,0,
MT00-293,-7.55,,,,,,-24.43,0.05,0.2,
MT00-294,-7.75,,,,,,-24.25,0.29,0.2,
MT00-295,-7.95,,,,,,-24.13,0.18,0.3,
MT00-296,-8.55,,,,,,-24.04,0.06,0.2,
MT00-297,-8.85,,,,,,-24.61,0.22,0.2,
MT00-298,-9.15,,,,,,-24.68,0.08,0.3,
MT00-299,-9.45,,,,,,-25.01,0.09,0.7,
MT00-300,-9.65,,,,,,-25.65,0.02,1.3,
MT00-301,-9.85,,,,,,-26.01,0.01,1.2,
MT00-302,-10.15,,,,,,-24.16,0.03,3.7,
MT00-304,-10.35,,,,,,-24.36,0.08,1.3,
MT00-305,-10.65,,,,,,-24.36,0.09,0.4,
MT00-306,-10.95,,,,,,-24.78,0.04,0.4,
MT00-307,-11.35,,,,,,-24.29,0.06,60.5,
MT00-308,-11.65,,,,,,-24.36,0.04,0.3,
MT00-309,-11.95,,,,,,-24.23,0.04,0.1,
MT00-310,-12.25,,,,,,-24.5,0.03,0.2,
MT00-311,-12.55,,,,,,-24.61,0.06,0.4,
MT00-312,-12.85,,,,,,-25.44,0.09,0.8,
MT00-313,-13.15,,,,,,-24.42,0.02,0.4,
MT00-314,-13.25,,,,,,-26.01,0.11,2.5,
MT00-315,-13.55,,,,,,-25.01,0.04,0.6,
MT00-316,-13.85,,,,,,-24.81,0.01,0.4,
MT00-317,-14.15,,,,,,-24.52,0.1,0.2,
MT00-318,-14.35,,,,,,-24.41,0.03,0.2,
MT00-319,-14.55,,,,,,-24.54,0.01,0.3,
MT00-320,-14.85,,,,,,-24.23,0.01,0.3,
MT00-321,-15.15,,,,,,-25.12,0.04,0.9,
MT00-322,-15.45,,,,,,-24.18,0.09,0.3,
MT00-323,-15.75,,,,,,-24.32,0.03,0.3,
MT00-324,-16.05,,,,,,-24.24,0.01,0.3,
MT00-325,-16.35,,,,,,-26.13,0.04,0.5,
MT00-326,-16.65,,,,,,-24.24,0.04,0.2,
MT00-327,-16.95,,,,,,-25.57,0.03,0.5,
MT00-328,-17.25,,,,,,-25.63,0.06,1.3,
MT00-329,-17.55,,,,,,-25.43,0.05,0.9,
,,,,,,,,,,
PDM,,,,,,,,,,
MT00-115,19.54,,,,,,-21.67,0.33,0.2,
MT00-116,19.25,,,,,,-26.01,0.05,0.6,
MT00-117,18.95,,,,,,-24.43,0.07,0.3,
MT00-118,18.65,,,,,,-23.11,0.15,0.1,
MT00-119,18.35,,,,,,-23.39,0.16,0.1,
MT00-120,18.05,,,,,,-22.89,0.07,0.1,
MT00-121,17.75,,,,,,-23.12,0.16,0.1,
MT00-122,17.45,,,,,,-23.31,0.08,0.2,
MT00-123,17.39,,,,,,-23.55,0.05,0.1,
MT00-124,17.2,,,,,,-23.91,0.05,0.1,
MT00-125,17,,,,,,-23.12,0.02,0.2,
MT00-126,16.75,,,,,,-23.81,0.04,0.1,
MT00-127,16.55,,,,,,-23.49,0.13,0.1,
MT00-128,16.13,,,,,,-24.02,0.06,0.1,
MT00-129,15.8,,,,,,-24.02,0.13,0.1,
MT00-130,15.5,,,,,,-24.46,0.11,0.1,
MT00-131,15.2,,,,,,-24.51,0.09,0.1,
MT00-132,14.9,,,,,,-24.22,0.13,0.1,
MT00-133,14.6,,,,,,-24.04,0.06,0.1,
MT00-134,14.3,,,,,,-24.42,0.07,0.1,
MT00-135,14,,,,,,-24.89,0.24,0.1,
MT00-136,13.7,,,,,,-24.37,0.11,1.5,
MT00-137,13.6,,,,,,-24.89,0.09,0.5,
MT00-138,13.3,,,,,,-24.54,0.04,0.2,
MT00-139,13,,,,,,-24.94,0.29,0.2,
MT00-140,12.7,,,,,,-25.32,0.05,0.3,
MT00-141,12.4,,,,,,-25.64,0.03,0.6,
MT00-142,12.23,,,,,,-26.64,0.07,0.9,
MT00-143,11.9,,,,,,-26.61,0.05,0.7,
MT00-146,11.6,,,,,,-26.95,0.05,0.6,
MT00-147,11.3,,,,,,-27.89,0.04,0.8,
MT00-148,11,,,,,,-27.07,0.05,0.5,
MT00-149,10.8,,,,,,-27.48,0.05,0.5,
MT00-150,10.6,,,,,,-24.2,0.23,0.1,
MT00-151,10.3,,,,,,-24.97,0.07,0.3,
MT00-152,8.8,,,,,,-24.95,0.08,0.2,
MT00-153,8.5,,,,,,-25.27,0.18,0.2,
MT00-154,8,,,,,,-24.09,0.11,0.1,
MT00-155,4.5,,,,,,-25.02,0.06,0.3,
MT00-156,4.2,,,,,,-24.92,0.09,0.2,
MT00-157,3.9,,,,,,-25.4,0.07,0.2,
MT00-158,3.6,,,,,,-25.5,0.07,0.2,
MT00-159,3.3,,,,,,-24.76,0.04,0.2,
,,,,,,,,,,
,,,,,,,,,,
Fisk II,,,,,,,,,,
MT00-001,14.4,,,,,,-23.72,0.15,0.1,
MT00-002,14.1,,,,,,-23.87,0.33,0.1,
MT00-003,13.8,,,,,,-23.78,0.09,0.1,
MT00-005,13.5,,,,,,-23.84,0.09,0.1,
MT00-006,13.2,,,,,,-23.3,0.05,0.1,
MT00-007,12.9,,,,,,-24.21,0.19,0.2,
MT00-008,12.6,,,,,,-23.81,0.14,0.1,
MT00-009,12.3,,,,,,-23.7,0.12,0.1,
MT00-010,12,,,,,,-24.19,0.04,0.1,
MT00-011,11.7,,,,,,-24.18,0.08,0.1,
MT00-012,11.4,,,,,,-23.65,0.22,0.1,
MT00-013,11.1,,,,,,-23.78,0.15,0.1,
MT00-014,10.8,,,,,,-23.76,0.1,0.1,
MT00-015,10.5,,,,,,-24.16,0.14,0.1,
MT00-016,10.1,,,,,,-23.74,0.11,0.1,
MT00-017,9.8,,,,,,-23.34,0.06,0.2,
MT00-018,9.4,,,,,,-24.37,0.09,0.2,
MT00-019,9,,,,,,-24.08,0.04,0.1,
MT00-020,8.6,,,,,,-24.47,0.2,0.2,
MT00-021,8.3,,,,,,-24.22,0.07,0.1,
MT00-022,8,,,,,,-22.92,0.07,0.2,
MT00-023,7.7,,,,,,-23.86,0.04,0.2,
MT00-024,7.48,,,,,,-21.95,0.31,0.2,
MT00-025,4.3,,,,,,-23.41,0.09,0.2,
MT00-026,2.75,,,,,,-25.96,0.04,0.2,
MT00-027,2.45,,,,,,-25.98,0.06,0.4,
MT00-028,1.95,,,,,,-25.7,0.04,1.2,
MT00-029,1.7,,,,,,-24.49,0.06,0.8,
MT00-030,1.4,,,,,,-26.3,0.01,1.9,
MT00-031,1.1,,,,,,-26.92,0.12,1.2,
MT00-032,0.8,,,,,,-26.93,0.02,1,
MT00-033,0.5,,,,,,-26.5,0.05,0.3,
MT00-034,0.2,,,,,,-23.54,0.17,0.1,
MT00-035,0,,,,,,-24.64,0.18,0.2,
,,,,,,,,,,
Fisk III,,,,,,,,,,
MT00-036,29.1,,,,,,-26.34,0.05,1,
MT00-037,28.75,,,,,,-24.08,0.23,0.1,
MT00-038,28.5,,,,,,-24.3,0.08,0.1,
MT00-039,28.2,,,,,,-24.38,0.09,0.1,
MT00-040,28,,,,,,-24.48,0.26,0.1,
MT00-041,27.7,,,,,,-24.67,0.11,0.1,
MT00-042,27.4,,,,,,-25.48,0.06,0.1,
MT00-043,27.1,,,,,,-25.63,0.18,0.1,
MT00-044,26.9,,,,,,-23.94,0.05,0.1,
MT00-045,26.8,,,,,,-23.58,0.32,0.1,
MT00-046,26.6,,,,,,-24.8,0.26,0.1,
MT00-047,26.3,,,,,,-24.99,0.07,0.1,
MT00-048,26,,,,,,-24.54,0.06,0.2,
MT00-049,25.6,,,,,,-24.39,0.06,0.2,
MT00-050,25.5,,,,,,-24.51,0.02,0.2,
MT00-051,25,,,,,,-24.54,0.06,0.2,
MT00-052,24.75,,,,,,-24.22,0.06,0.2,
MT00-053,24.5,,,,,,-23.77,0.21,0.1,
MT00-054,24.3,,,,,,-24.62,0.3,0.1,
MT00-055,24,,,,,,-23.9,0.35,0.1,
MT00-056,23.7,,,,,,-23.84,0.14,0.1,
MT00-057,23.4,,,,,,-24.29,0.22,0.1,
MT00-058,23.1,,,,,,-24.05,0.29,0.1,
MT00-059,22.8,,,,,,-23.65,0.29,0,
MT00-060,22.5,,,,,,-23.52,0.14,0,
MT00-061,22.2,,,,,,-23.21,0.17,0.1,
MT00-062,21.65,,,,,,-23.25,0.11,0.1,
MT00-063,21.45,,,,,,-23.23,0.19,0.1,
MT00-064,21.35,,,,,,-24.35,0.19,0.1,
MT00-065,21.2,,,,,,-22.83,0.02,0.1,
MT00-066,21.1,,,,,,-23,0.12,0,
MT00-067,20.8,,,,,,-23.69,0.12,0.1,
MT00-068,20.5,,,,,,-24.02,0.16,0,
MT00-069,20.2,,,,,,-23.54,0.27,0,
MT00-070,19.9,,,,,,-23.31,0.06,0.1,
MT00-071,19.45,,,,,,-24.86,0.01,0.3,
MT00-072,19.25,,,,,,-24.57,0.14,0.3,
MT00-073,19.2,,,,,,-25.01,0.05,0.5,
MT00-074,18.95,,,,,,-24.82,0.11,0.3,
MT00-075,18.65,,,,,,-24.5,0.31,0.3,
MT00-076,18.35,,,,,,-24.68,0.12,0.3,
MT00-077,18.05,,,,,,-25.21,0.06,0.6,
MT00-078,17.75,,,,,,-25.09,0.06,0.4,
MT00-080,17.55,,,,,,-26.71,0.08,1.1,
MT00-081,17.25,,,,,,-25.98,0.09,4.5,
MT00-082,16.95,,,,,,-25.65,0.04,1.2,
MT00-083,16.65,,,,,,-25.96,0.08,1.7,
MT00-084,16.35,,,,,,-26.67,0.04,3.2,
MT00-085,15.95,,,,,,-26.12,0.17,1,
MT00-086,15.65,,,,,,-24.81,0.31,0.2,
MT00-087,15.3,,,,,,-23.42,0.18,0.1,
MT00-088,15,,,,,,-24.26,0.23,0.1,
MT00-089,14.7,,,,,,-24.4,0.16,0.1,
MT00-090,14.4,,,,,,-24.33,0.07,0.1,
MT00-091,14,,,,,,-24.47,0.03,0.2,
MT00-092,13.65,,,,,,-24.87,0.13,0.1,
MT00-093,13.35,,,,,,-24.24,0.05,0.1,
MT00-094,12.7,,,,,,-24.23,0.02,0.1,
MT00-095,12.3,,,,,,-24.02,0.15,0.1,
MT00-096,12,,,,,,-24.23,0.03,0.1,
MT00-097,11.65,,,,,,-24.14,0.22,0.2,
MT00-098,11.2,,,,,,-24.5,0.21,0.1,
MT00-099,10.9,,,,,,-24.58,0.16,0.1,
MT00-100,10.6,,,,,,-25.38,0.14,0.1,
MT00-101,10.35,,,,,,-24.94,0.01,0.3,
MT00-102,7.4,,,,,,-24.18,0.2,0.1,
MT00-103,7.1,,,,,,-24.23,0.11,0.1,
MT00-104,6.8,,,,,,-24.2,0.21,0.1,
MT00-105,0.6,,,,,,-25.64,0.06,0.3,
,,,,,,,,,,
Celeste's Metasequoia,,,,,,,,,,
MT00-106,12.2,,,,,,-25.28,0.14,1.3,
MT00-107,12,,,,,,-24.39,0.09,0.4,
MT00-108,11.6,,,,,,-23.49,0.07,0.3,
MT00-109,11.4,,,,,,-23.31,0.14,0.1,
MT00-110,11.2,,,,,,-23.56,0.11,0.1,
MT00-111,11,,,,,,-23.22,0.22,0.1,
MT00-112,10.8,,,,,,-23.26,0.04,0.1,
MT00-113,10.6,,,,,,-23.01,0.07,0.1,
MT00-114,10.3,,,,,,-23.56,0.03,0.1,
MT00-236,7.39,,,,,,-25.39,0.03,0.7,
MT00-237,7.15,,,,,,-24,0.16,0.1,
MT00-238,7,,,,,,-23.9,0.13,0.1,
MT00-239,6.75,,,,,,-24.17,0.13,0.1,
MT00-240,6.5,,,,,,-24.31,0.14,0.1,
MT00-241,6.25,,,,,,-24.59,0.12,0.3,
MT00-242,6,,,,,,-23.95,0.1,0.1,
MT00-243,5.8,,,,,,-25.67,0.28,0.5,
MT00-244,5.6,,,,,,-25.28,0.02,1.7,
MT00-245,5.45,,,,,,-24.29,0.22,0.1,
MT00-246,5.25,,,,,,-24.27,0.06,0.1,
MT00-247,4.95,,,,,,-24.11,0.11,0.1,
MT00-248,4.65,,,,,,-25.31,0.03,0.4,
MT00-249,4.35,,,,,,-25.36,0.05,0.4,
MT00-250,4.29,,,,,,-24.95,0.07,0.2,
MT00-251,4.1,,,,,,-25.53,0.06,0.3,
MT00-252,3.9,,,,,,-26.12,0.03,0.6,
MT00-253,3.7,,,,,,-25.49,0.02,0.5,
MT00-254,3.5,,,,,,-26.03,0.04,1.1,
MT00-255,3.3,,,,,,-26.12,0.05,1.1,
MT00-256,3,,,,,,-24.59,0.03,0.3,
MT00-257,2.55,,,,,,-24.38,0.09,0.2,
MT00-258,2.45,,,,,,-24.33,0.08,0.1,
MT00-259,2.2,,,,,,-24.29,0.09,0.1,
MT00-260,2,,,,,,-24.55,0.08,0.1,
MT00-261,1.7,,,,,,-24.68,0.17,0.1,
MT00-262,1.4,,,,,,-24.7,0.22,0.1,
MT00-263,1.2,,,,,,-24.83,0.1,0.2,
MT00-264,0.7,,,,,,-24.87,0.03,0.3,
MT00-265,0.35,,,,,,-27.78,0.02,1.1,
MT00-266,0.1,,,,,,-26.88,0.14,3.1,
,,,,,,,,,,
Constenius,,,,,,,,,,
MT98-173,0.27,,,,,,-23.99,,3.6,
MT98-172,0.2,,,,,,-25.02,,52.4,
MT98-171,0,,,,,,-23.61,,45.8,
MT98-170,-0.02,,,,,,-24.01,,2.8,
MT98-170,-0.02,,,,,,-23.91,,3.4,
MT98-169,-0.2,,,,,,-23.13,,1.7,
MT98-163,-5.32,,,,,,-24.24,,0.5,
MT98-162,-5.34,,,,,,-26.13,,8.7,
MT98-161,-5.4,,,,,,-25.64,,3,
MT98-160,-5.43,,,,,,-25.06,,1,
MT98-159,-5.47,,,,,,-24.89,,0.8,
MT98-158,-5.6,,,,,,-24.79,,0.9,
MT98-157,-6.8,,,,,,-23.89,,0.7,
MT98-156,-6.89,,,,,,-25.06,,8,
MT98-156,-6.89,,,,,,-25.15,,6.8,
MT98-156,-6.89,,,,,,-25.04,,7.9,
MT98-155,-6.99,,,,,,-24.14,,36.9,
MT98-154,-7.05,,,,,,-23.53,,0.2,
MT98-153,-7.47,,,,,,-24.03,,0.1,
MT98-152,-8.54,,,,,,-24.89,,0.5,
MT98-151,-8.66,,,,,,-24.97,,1,
MT98-150,-9.11,,,,,,-23.58,,0.1,
MT98-149,-9.63,,,,,,-23.06,,7.7,
MT98-148,-9.66,,,,,,-24.99,,29.2,
MT98-147,-9.69,,,,,,-25.07,,39,
MT98-146,-9.72,,,,,,-24.99,,43,
MT98-145,-9.76,,,,,,-24.39,,1.7,
MT98-144,-9.87,,,,,,-24.96,,2.2,
MT98-143,-9.91,,,,,,-24.01,,0.2,
MT98-142,-10.71,,,,,,-24.21,,0.3,
,,,,,,,,,,
Wild Horse Basin,,,,,,,,,,
MT98-138,0.25,,,,,,-24.062,,52.4,
MT98-140,-0.22,,,,,,-23.872,,0.4,
MT98-137,-1.39,,,,,,-24.026,,21.7,
MT98-136,-2.3,,,,,,-23.496,,0.3,
MT98-135,-3.22,,,,,,-23.57,,0.4,
MT98-134,-4.22,,,,,,-23.896,,0.4,
MT98-133,-5.22,,,,,,-23.77,,0.3,
MT98-139,-6.3,,,,,,-23.937,,32.7,
MT98-132,-7.55,,,,,,-23.75,,34.7,
MT98-131,-7.62,,,,,,-24.153,,0.9,
MT98-130,-7.67,,,,,,-24.365,,4.8,
MT98-129,-7.74,,,,,,-24.563,,1.2,
MT98-128,-7.88,,,,,,-24.392,,1.4,
MT98-127,-8.47,,,,,,-24.186,,0.9,
MT98-126,-8.63,,,,,,-24.818,,1.5,
MT98-125,-8.76,,,,,,-24.909,,4.8,
MT98-124,-8.83,,,,,,-23.934,,0.6,
MT98-124,-8.83,,,,,,-24.289,,0.6,
MT98-123,-9.9,,,,,,-23.809,,0.1,
MT98-122,-12.77,,,,,,-24.412,,12.6,
MT98-121,-12.82,,,,,,-23.276,,1,
MT98-120,-13.5,,,,,,-23.458,,0.7,
MT98-119,-14.5,,,,,,-24.352,,2,
MT98-118,-14.52,,,,,,-25.583,,6.7,
MT98-117,-14.8,,,,,,-24.744,,1.9,
MT98-116,-14.99,,,,,,-24.246,,51.3,
MT98-116,-14.99,,,,,,-24.309,,51.7,
MT98-114,-15.06,,,,,,-25.408,,1.1,
MT98-115,-15.14,,,,,,-23.05,,38.6,
MT98-115,-15.14,,,,,,-22.95,,38,
MT98-115,-15.14,,,,,,-23.191,,32.8,
MT98-109,-15.14,,,,,,-24.363,,6.6,
MT98-113,-15.35,,,,,,-23.297,,3.6,
MT98-112,-15.58,,,,,,-24.466,,7.6,
MT98-112,-15.58,,,,,,-24.247,,4.8,
MT98-111,-15.66,,,,,,-23.619,,38,
MT98-111,-15.66,,,,,,-23.707,,34.6,
MT98-110,-15.75,,,,,,-23.941,,1.3,
MT98-108,-18,,,,,,-25.258,,1.3,
MT98-107,-18.26,,,,,,-23.773,,0.2,
MT98-105,-20.07,,,,,,-25.009,,1.5,
MT98-103,-20.6,,,,,,-23.704,,0.4,
MT98-102,-22.03,,,,,,-24.715,,1.1,
,,,,,,,,,,
Z-Line,,,,,,,,,,
MT98-192,0.69,,,,,,-24.22,,53.6,
MT98-191,0.53,,,,,,-24.2,,28.8,
MT98-190,0.33,,,,,,-24.41,,48,
MT98-189,0.13,,,,,,-24.55,,53,
MT98-188,0,,,,,,-24.9,,27.7,
MT98-186,-0.67,,,,,,-23.17,,0.3,
MT98-185,-2.17,,,,,,-23.57,,0.3,
MT98-184,-2.32,,,,,,-23.58,,2,
MT98-182,-3.67,,,,,,-24.66,,38.1,
MT98-181,-3.69,,,,,,-24.27,,0.6,
MT98-180b,-4.17,,,,,,-23.67,,0.1,
MT98-180a,-4.67,,,,,,-23.69,,0.1,
MT98-179,-5.17,,,,,,-23.89,,0.2,
MT98-178,-5.58,,,,,,-24.29,,0.3,
MT98-176,-6.09,,,,,,-23.76,,0.3,
MT98-175,-6.27,,,,,,-23.69,,0.4,
MT98-193,-8.22,,,,,,-24.67,,2.3,
